Dia de la semana,Dia,Mes,Anio,Contador Ruta Reforma222,Contador Ruta Revolucion,Contador Ruta Patriotismo
miercoles,9,4,2014,2698,,
martes,29,4,2014,244,,
lunes,31,3,2014,2519,,
viernes,18,7,2014,1963,,
sabado,2,8,2014,1503,,
miercoles,22,10,2014,2385,,
martes,9,9,2014,2174,,
lunes,8,9,2014,1967,,
jueves,23,10,2014,2729,,
jueves,2,10,2014,2434,,
miercoles,12,11,2014,2679,,
sabado,1,11,2014,1529,,
martes,2,12,2014,2652,,
viernes,27,3,2015,2541,,
martes,10,3,2015,2827,,
jueves,29,1,2015,2856,,
miercoles,3,12,2014,2664,,
lunes,29,12,2014,1829,,
domingo,11,1,2015,1338,,
viernes,2,1,2015,1473,,
viernes,5,8,2016,2443,747,778
viernes,29,7,2016,1418,766,816
miercoles,20,7,2016,2809,837,863
viernes,22,7,2016,2216,653,703
viernes,29,4,2016,2763,,
jueves,18,8,2016,2848,827,921
miercoles,9,1,2019,3730,964,1415
viernes,11,1,2019,3846,964,1451
domingo,20,1,2019,1949,376,615
martes,1,1,2019,1406,242,290
lunes,13,1,2014,2255,,
miercoles,19,2,2014,3107,,
sabado,8,2,2014,1492,,
martes,18,2,2014,2713,,
martes,25,2,2014,2809,,
lunes,10,2,2014,265,,
miercoles,25,1,2017,3198,1096,1279
miercoles,18,1,2017,2976,1072,1182
domingo,5,2,2017,1199,531,609
martes,7,2,2017,3114,1093,1233
sabado,11,3,2017,1557,636,667
miercoles,14,2,2018,3519,1306,1383
miercoles,21,3,2018,3023,1109,131
martes,27,2,2018,3299,1275,1389
sabado,17,3,2018,1627,689,622
martes,6,3,2018,3312,3102,1457
viernes,30,9,2016,2538,791,815
domingo,6,11,2016,1103,597,474
sabado,25,11,2017,1434,675,656
lunes,20,11,2017,1781,563,555
viernes,15,12,2017,2749,993,1014
lunes,12,2,2018,3276,1607,1202
jueves,11,1,2018,,1134,1227
domingo,27,11,2016,1009,494,563
sabado,26,11,2016,1302,616,568
domingo,11,12,2016,963,408,393
viernes,9,12,2016,2622,884,1002
lunes,28,11,2016,2659,887,1076
martes,17,4,2018,337,1141,1461
domingo,8,4,2018,1387,561,609
martes,3,4,2018,299,1103,1206
jueves,4,5,2017,2703,944,116
martes,9,5,2017,3073,1177,1327
lunes,1,5,2017,1228,563,573
sabado,24,6,2017,1161,664,692
domingo,18,6,2017,968,607,618
domingo,21,5,2017,136,561,783
viernes,9,6,2017,2965,1119,2132
lunes,29,5,2017,2778,992,1228
martes,11,7,2017,10391,819,839
lunes,17,7,2017,1061,926,1077
viernes,4,8,2017,,897,985
domingo,12,11,2017,1304,576,600
viernes,3,11,2017,2949,,109
jueves,2,11,2017,2331,,869
domingo,29,10,2017,,,1287
martes,3,10,2017,,,11
sabado,31,3,2018,136,490,439
viernes,30,3,2018,1341,376,504
jueves,22,3,2018,3224,938,1346
domingo,20,5,2018,1181,553,620
viernes,11,5,2018,3123,108,1322
lunes,21,5,2018,2804,903,1115
miercoles,6,5,2015,2463,,
domingo,26,4,2015,1445,,
domingo,31,5,2015,1143,,
sabado,31,10,2015,2239,,
lunes,7,12,2015,253,,
domingo,24,1,2016,1024,,
viernes,1,1,2016,708,,
sabado,2,1,2016,988,,
miercoles,13,4,2016,3096,,
miercoles,20,4,2016,2029,,
viernes,25,3,2016,1376,,
jueves,7,4,2016,3014,,
jueves,3,9,2015,1613,,
martes,6,10,2015,2969,,
domingo,26,7,2015,1449,,
viernes,3,7,2015,2294,,
jueves,6,8,2015,276,,
martes,28,7,2015,2776,,
miercoles,17,2,2016,2588,,
domingo,28,2,2016,1701,,
viernes,26,2,2016,3048,,
martes,8,3,2016,2406,,
miercoles,25,6,2014,1485,,
martes,10,6,2014,2337,,
martes,17,6,2014,1933,,
sabado,5,7,2014,1109,,
sabado,17,5,2014,1679,,
sabado,3,5,2014,1333,,
viernes,9,5,2014,2511,,
jueves,15,5,2014,2743,,
jueves,8,5,2014,2192,,
martes,7,5,2019,4040,1158,1455
miercoles,6,2,2019,4102,1050,1419
viernes,15,2,2019,3818,753,1304
viernes,22,2,2019,3830,930,1422
jueves,14,2,2019,4149,1048,1461
viernes,25,1,2019,4170,887,1361
miercoles,13,3,2019,4051,1018,1499
miercoles,3,4,2019,4192,1094,1457
viernes,5,4,2019,4077,1107,1346
domingo,16,6,2019,1634,263,551
jueves,20,6,2019,3690,898,1287
domingo,23,6,2019,1494,598,578
viernes,17,5,2019,3141,830,919
domingo,12,5,2019,2055,575,642
lunes,20,5,2019,3642,1078,1288
jueves,10,1,2019,3835,719,1422
sabado,26,1,2019,2340,432,740
miercoles,13,2,2019,3187,685,1247
miercoles,20,2,2019,4030,920,1429
domingo,24,2,2019,1785,579,673
sabado,16,3,2019,2120,573,704
domingo,24,3,2019,1997,592,592
sabado,30,3,2019,2349,654,921
domingo,19,1,2014,1107,,
martes,21,1,2014,2503,,
jueves,2,1,2014,138,,
sabado,22,2,2014,1571,,
sabado,1,2,2014,1369,,
jueves,13,2,2014,2696,,
viernes,31,1,2014,2653,,
domingo,30,3,2014,990,,
viernes,21,3,2014,2924,,
martes,18,3,2014,2873,,
viernes,4,4,2014,2716,,
jueves,3,4,2014,3043,,
jueves,10,4,2014,2773,,
martes,16,9,2014,988,,
miercoles,6,8,2014,256,,
miercoles,2,7,2014,2098,,
viernes,1,8,2014,2375,,
jueves,14,8,2014,2166,,
viernes,4,7,2014,1835,,
miercoles,17,12,2014,2521,,
jueves,6,11,2014,2865,,
martes,6,5,2014,2637,,
viernes,31,10,2014,2745,,
viernes,3,10,2014,204,,
sabado,28,3,2015,1168,,
viernes,20,3,2015,2805,,
sabado,28,2,2015,1515,,
jueves,5,3,2015,2888,,
miercoles,15,4,2015,2998,,
miercoles,8,4,2015,2995,,
jueves,30,4,2015,2568,,
domingo,10,5,2015,984,,
martes,26,5,2015,2825,,
lunes,18,5,2015,2609,,
miercoles,16,9,2015,738,,
viernes,18,9,2015,2064,,
domingo,27,9,2015,1078,,
viernes,4,9,2015,2134,,
martes,1,9,2015,2487,,
lunes,10,8,2015,263,,
viernes,20,11,2015,2735,,
domingo,8,11,2015,896,,
sabado,11,7,2015,14,,
domingo,14,6,2015,989,,
jueves,28,5,2015,2112,,
lunes,15,6,2015,2401,,
domingo,11,10,2015,1264,,
martes,13,10,2015,2891,,
lunes,12,10,2015,2751,,
domingo,24,7,2016,934,436,450
domingo,19,6,2016,846,471,394
miercoles,25,5,2016,2788,,
sabado,28,5,2016,1494,,
domingo,5,6,2016,941,,
viernes,11,12,2015,2571,,
domingo,27,12,2015,1037,,
martes,22,12,2015,2294,,
lunes,21,12,2015,2207,,
viernes,15,1,2016,2489,,
miercoles,27,4,2016,3024,,
domingo,17,4,2016,1116,,
sabado,16,4,2016,2285,,
miercoles,30,3,2016,2774,,
domingo,27,3,2016,1293,,
domingo,20,3,2016,947,,
sabado,9,4,2016,1258,,
viernes,1,4,2016,2723,,
domingo,14,2,2016,1731,,
viernes,22,1,2016,2565,,
miercoles,17,8,2016,2739,736,824
domingo,19,2,2017,111,512,552
miercoles,4,1,2017,249,937,954
jueves,23,2,2017,3268,1166,1319
viernes,27,1,2017,3025,1051,1206
sabado,21,1,2017,1456,691,627
miercoles,3,5,2017,3084,1151,1364
domingo,2,7,2017,971,579,2794
domingo,9,7,2017,924,493,595
miercoles,8,11,2017,3558,854,1327
viernes,17,11,2017,3539,1107,1294
jueves,23,11,2017,3378,1118,1273
domingo,2,4,2017,1266,596,546
miercoles,12,7,2017,7191,886,910
miercoles,26,7,2017,,849,990
martes,25,7,2017,,773,917
viernes,29,9,2017,,,883
lunes,25,9,2017,,,971
viernes,6,10,2017,,,1063
lunes,9,10,2017,,,11
sabado,3,9,2016,1261,743,603
domingo,4,9,2016,1142,370,428
viernes,9,2,2018,2666,916,1063
lunes,5,2,2018,1281,569,595
miercoles,24,1,2018,,923,1006
miercoles,21,2,2018,3321,3611,1368
sabado,24,2,2018,1652,4752,884
domingo,18,3,2018,1254,640,632
viernes,16,3,2018,3062,988,1246
miercoles,11,4,2018,2957,1042,1215
domingo,22,4,2018,1285,598,620
martes,24,4,2018,3175,922,1297
jueves,22,11,2018,3954,1007,1267
martes,19,11,2013,1344,,
viernes,6,12,2013,2481,,
miercoles,20,6,2018,2981,1006,1191
domingo,27,5,2018,1512,590,718
miercoles,23,5,2018,3162,960,1336
lunes,14,5,2018,3216,886,1292
miercoles,10,10,2018,2614,775,1332
domingo,4,11,2018,1281,400,506
martes,30,10,2018,3446,917,1222
sabado,15,9,2018,1495,539,587
viernes,21,9,2018,3377,1017,1291
viernes,28,9,2018,3203,977,124
domingo,16,9,2018,115,372,598
martes,25,9,2018,314,767,1295
lunes,24,9,2018,313,1055,1228
jueves,6,9,2018,3031,892,797
sabado,1,9,2018,1821,656,
miercoles,29,8,2018,297,859,
miercoles,31,7,2019,3549,955,1216
lunes,3,6,2019,3733,1046,1327
miercoles,26,6,2019,3747,796,1158
sabado,16,11,2013,613,,
sabado,30,11,2013,127,,
lunes,1,9,2014,1809,,
martes,19,8,2014,221,,
lunes,25,8,2014,2371,,
jueves,19,3,2015,2825,,
miercoles,15,10,2014,2594,,
domingo,23,11,2014,1184,,
lunes,10,11,2014,2593,,
viernes,24,10,2014,2452,,
miercoles,11,6,2014,2277,,
viernes,25,4,2014,2661,,
domingo,8,6,2014,852,,
lunes,9,6,2014,2295,,
lunes,2,6,2014,2425,,
sabado,13,12,2014,1191,,
jueves,11,12,2014,2437,,
domingo,25,1,2015,1477,,
domingo,6,4,2014,123,,
jueves,17,4,2014,1486,,
domingo,22,2,2015,1377,,
lunes,9,2,2015,2061,,
sabado,21,6,2014,1082,,
viernes,27,6,2014,2383,,
jueves,31,7,2014,2729,,
miercoles,22,6,2016,2739,865,918
sabado,5,3,2016,2947,,
sabado,19,9,2015,1496,,
miercoles,14,10,2015,2695,,
domingo,4,10,2015,1157,,
jueves,15,10,2015,2885,,
lunes,19,10,2015,2542,,
sabado,12,12,2015,123,,
domingo,20,12,2015,875,,
viernes,8,1,2016,2417,,
martes,10,11,2015,2972,,
martes,3,11,2015,2626,,
lunes,16,11,2015,1125,,
sabado,24,10,2015,1509,,
miercoles,25,11,2015,2783,,
miercoles,2,12,2015,2777,,
sabado,28,11,2015,1419,,
lunes,30,11,2015,2706,,
miercoles,27,1,2016,2907,,
sabado,6,2,2016,1365,,
sabado,15,8,2015,1316,,
lunes,27,7,2015,2396,,
miercoles,24,6,2015,279,,
domingo,5,7,2015,116,,
jueves,9,7,2015,2402,,
lunes,6,7,2015,2246,,
viernes,1,5,2015,1304,,
viernes,8,5,2015,2474,,
lunes,8,6,2015,2762,,
viernes,23,9,2016,2374,813,821
miercoles,15,5,2019,3382,944,1169
miercoles,29,5,2019,4154,1040,1434
miercoles,8,5,2019,4125,1109,1481
martes,21,5,2019,3729,1083,1379
domingo,6,1,2019,1553,328,526
martes,8,1,2019,3648,618,1245
lunes,14,1,2019,3600,581,1293
miercoles,6,3,2019,3917,992,1427
martes,26,3,2019,4372,1011,1422
viernes,26,4,2019,3647,1027,1250
jueves,17,11,2016,2681,839,1017
viernes,14,10,2016,2786,960,976
domingo,23,10,2016,114,507,478
lunes,17,10,2016,268,922,952
miercoles,29,11,2017,3473,1089,1237
jueves,14,12,2017,3004,951,1065
martes,14,11,2017,3455,1144,1361
viernes,1,12,2017,3165,1041,111
jueves,9,11,2017,346,1109,1229
lunes,4,12,2017,3164,1094,1192
miercoles,14,3,2018,2789,936,1259
domingo,11,2,2018,1373,778,656
domingo,4,2,2018,1251,553,602
sabado,10,3,2018,1828,4874,676
martes,6,2,2018,3213,1125,1273
sabado,3,3,2018,1628,108,650
miercoles,16,5,2018,3352,963,1361
lunes,16,7,2018,2708,863,998
jueves,15,3,2018,2978,891,1219
jueves,29,3,2018,1834,559,700
domingo,13,5,2018,1294,588,604
sabado,5,5,2018,1673,546,574
domingo,29,7,2018,1878,562,719
lunes,3,9,2018,3009,952,
martes,21,8,2018,2931,874,
lunes,27,8,2018,2425,773,
jueves,9,8,2018,,928,
jueves,1,2,2018,280,1088,12
sabado,30,12,2017,,489,407
miercoles,10,1,2018,,1105,1171
viernes,5,1,2018,,982,933
miercoles,11,1,2017,2949,993,1159
miercoles,8,3,2017,309,1141,1297
jueves,16,2,2017,3171,1111,1278
sabado,4,3,2017,1468,670,629
jueves,23,3,2017,3235,1073,13
lunes,9,1,2017,276,948,1028
miercoles,12,4,2017,2537,838,688
miercoles,5,4,2017,3192,1107,1251
sabado,29,4,2017,1567,703,624
viernes,30,6,2017,2564,928,164
domingo,14,5,2017,1226,600,678
domingo,4,6,2017,1183,588,634
martes,16,5,2017,3159,1133,1411
miercoles,18,10,2017,,,1176
viernes,13,10,2017,,,1119
viernes,23,11,2018,3915,933,1232
sabado,7,1,2017,1269,672,530
domingo,21,10,2018,1523,514,621
sabado,13,10,2018,2045,645,712
viernes,14,7,2017,7291,1007,1041
jueves,10,8,2017,,551,595
viernes,28,7,2017,,932,971
domingo,14,7,2019,1680,450,532
domingo,2,6,2019,1734,636,521
sabado,21,12,2013,1121,,
lunes,25,11,2013,2165,,
sabado,13,1,2018,,649,612
domingo,14,1,2018,,594,617
jueves,18,1,2018,,1082,1143
martes,23,1,2018,,118,1282
miercoles,28,3,2018,2926,863,1106
sabado,7,4,2018,1682,722,692
jueves,17,5,2018,3333,11,1374
sabado,26,5,2018,1626,693,701
lunes,28,5,2018,3145,1038,1298
miercoles,30,5,2018,3398,1203,1306
sabado,2,6,2018,1514,681,644
lunes,9,7,2018,2402,839,1032
domingo,22,7,2018,1428,588,644
viernes,19,10,2018,2753,927,1282
miercoles,24,10,2018,3853,1037,144
domingo,28,10,2018,1794,648,1289
sabado,10,11,2018,2133,577,717
domingo,25,11,2018,178,476,656
domingo,16,12,2018,1473,532,549
miercoles,16,7,2014,1974,,
miercoles,4,6,2014,2407,,
domingo,22,6,2014,1107,,
sabado,14,6,2014,166,,
jueves,3,7,2014,2331,,
viernes,19,9,2014,2149,,
lunes,22,9,2014,1879,,
jueves,4,9,2014,1849,,
jueves,17,7,2014,181,,
viernes,28,3,2014,278,,
domingo,11,5,2014,135,,
lunes,28,4,2014,2524,,
viernes,18,3,2016,2653,,
jueves,16,5,2019,2840,837,951
jueves,23,5,2019,3855,883,1298
jueves,30,5,2019,4048,1049,1363
jueves,20,2,2014,2789,,
sabado,18,1,2014,1483,,
viernes,24,1,2014,2446,,
viernes,14,11,2014,2147,,
domingo,2,11,2014,1005,,
martes,7,10,2014,2691,,
viernes,22,4,2016,2148,,
sabado,30,4,2016,1396,,
miercoles,18,5,2016,2807,,
viernes,20,5,2016,2653,,
martes,24,5,2016,2554,,
lunes,6,6,2016,2684,,
miercoles,8,6,2016,2769,,
domingo,12,6,2016,945,,
miercoles,15,6,2016,2909,864,993
martes,21,6,2016,2671,791,884
viernes,24,6,2016,2716,762,853
sabado,25,6,2016,1087,479,438
lunes,27,6,2016,2315,729,737
miercoles,6,7,2016,2805,747,803
viernes,8,7,2016,268,779,790
viernes,15,7,2016,2699,844,824
sabado,16,7,2016,1223,533,437
jueves,28,7,2016,2577,753,833
domingo,31,7,2016,1479,467,1396
jueves,4,8,2016,2853,813,867
miercoles,10,8,2016,2804,795,914
sabado,20,8,2016,1192,524,430
sabado,27,8,2016,1292,504,505
lunes,5,9,2016,2543,673,808
jueves,22,9,2016,3505,1118,1216
martes,27,9,2016,2691,770,924
domingo,30,10,2016,1057,647,1214
miercoles,16,11,2016,1988,585,655
domingo,20,11,2016,921,392,473
miercoles,23,11,2016,2764,1005,1128
lunes,19,12,2016,2538,801,864
lunes,16,1,2017,2948,1023,1077
jueves,26,1,2017,3178,1077,125
sabado,28,1,2017,1604,648,676
jueves,9,2,2017,3187,1089,1273
sabado,11,2,2017,1599,818,841
martes,14,2,2017,3191,1137,1304
viernes,24,2,2017,309,1113,1218
martes,7,3,2017,3248,1103,1382
jueves,9,3,2017,289,972,1298
jueves,16,3,2017,2617,903,1138
sabado,18,3,2017,1432,604,592
jueves,27,4,2017,3281,1117,928
miercoles,10,5,2017,2681,928,111
martes,6,6,2017,2869,989,1267
domingo,11,6,2017,1193,624,774
martes,13,6,2017,2779,987,1298
sabado,17,6,2017,1538,749,714
viernes,23,6,2017,3111,1128,1317
martes,1,8,2017,,1019,1103
miercoles,2,8,2017,,1049,1125
martes,22,8,2017,,1111,1054
viernes,22,9,2017,,,978
sabado,7,10,2017,,,574
martes,10,10,2017,,,1262
sabado,14,10,2017,,,607
viernes,10,11,2017,3449,1132,1287
lunes,18,12,2017,2868,922,101
domingo,25,10,2015,1192,,
miercoles,18,2,2015,2767,,
miercoles,25,2,2015,2922,,
martes,17,2,2015,2674,,
sabado,31,1,2015,1383,,
jueves,25,12,2014,649,,
domingo,18,1,2015,129,,
sabado,24,1,2015,147,,
domingo,21,2,2016,1083,,
miercoles,10,12,2014,242,,
jueves,27,11,2014,2475,,
martes,9,12,2014,2569,,
sabado,5,9,2015,1331,,
lunes,21,9,2015,2591,,
lunes,7,9,2015,2619,,
sabado,3,10,2015,14,,
martes,20,10,2015,2909,,
sabado,20,6,2015,1323,,
sabado,30,5,2015,1024,,
martes,7,7,2015,2681,,
miercoles,20,5,2015,2598,,
sabado,25,4,2015,16,,
martes,28,4,2015,3031,,
martes,19,5,2015,2559,,
martes,12,5,2015,161,,
martes,5,5,2015,2171,,
martes,11,8,2015,2478,,
jueves,20,8,2015,2641,,
martes,21,7,2015,2592,,
martes,14,4,2015,2915,,
lunes,13,4,2015,2858,,
martes,7,4,2015,2915,,
miercoles,16,1,2019,3981,636,1422
jueves,17,1,2019,3973,824,1309
jueves,28,2,2019,4114,1041,1413
sabado,2,3,2019,2229,644,684
martes,19,3,2019,3773,1026,1343
lunes,8,4,2019,3574,918,1252
sabado,27,4,2019,2046,626,684
miercoles,17,7,2019,3809,840,1231
sabado,13,7,2019,1797,474,496
viernes,12,7,2019,3192,588,952
martes,30,7,2019,3658,988,1230
miercoles,20,11,2013,2394,,
sabado,13,8,2016,1423,535,519
domingo,21,8,2016,976,442,389
lunes,26,9,2016,2842,785,852
martes,18,10,2016,2919,1003,1121
miercoles,2,11,2016,1616,619,696
lunes,14,11,2016,2697,801,961
martes,15,11,2016,2751,874,104
miercoles,30,11,2016,2973,951,1155
martes,6,12,2016,2916,952,1196
martes,3,1,2017,2441,849,896
martes,10,1,2017,3266,950,116
martes,24,1,2017,3146,1131,1318
lunes,30,1,2017,29,107,1192
jueves,2,2,2017,3105,1093,1161
viernes,17,2,2017,3031,1081,1159
sabado,18,2,2017,1545,699,669
martes,21,2,2017,3283,1151,1306
lunes,27,2,2017,2954,1047,1233
viernes,17,3,2017,2978,941,1109
viernes,31,3,2017,3094,1076,111
lunes,3,4,2017,291,1033,880
viernes,14,4,2017,1465,360,335
martes,25,4,2017,3247,1143,1113
martes,2,5,2017,2896,1058,1269
miercoles,17,5,2017,3243,1178,1365
viernes,19,5,2017,3112,1107,1242
miercoles,21,6,2017,3115,115,1402
sabado,12,8,2017,,672,564
miercoles,16,8,2017,,1028,1027
viernes,18,8,2017,,873,877
sabado,2,9,2017,,596,
viernes,8,9,2017,,887,
jueves,14,9,2017,,1004,1159
viernes,15,9,2017,,915,931
lunes,2,10,2017,,,1002
jueves,5,10,2017,,,1209
sabado,21,10,2017,,,620
viernes,27,10,2017,,,117
sabado,9,12,2017,1453,603,581
miercoles,3,1,2018,,889,864
viernes,2,3,2018,3353,1393,1202
martes,13,3,2018,3266,1711,1368
miercoles,4,4,2018,2712,954,1149
sabado,21,4,2018,2426,948,965
jueves,3,5,2018,3179,1028,1335
domingo,3,6,2018,1319,550,587
viernes,8,6,2018,2933,1044,1212
domingo,17,6,2018,1248,417,459
lunes,25,6,2018,269,924,1053
miercoles,27,6,2018,3039,937,1138
miercoles,4,7,2018,3108,977,1058
martes,17,7,2018,2871,891,1094
sabado,28,7,2018,1567,544,536
lunes,30,7,2018,2976,936,1105
sabado,18,8,2018,159,612,
miercoles,5,9,2018,3288,104,
miercoles,12,9,2018,2775,843,1201
miercoles,26,9,2018,3018,955,1339
martes,9,10,2018,3355,989,1367
jueves,15,11,2018,3417,765,1095
miercoles,21,11,2018,3963,803,1305
martes,27,11,2018,3808,822,1311
sabado,15,12,2018,1897,386,655
martes,1,7,2014,2702,,
jueves,10,7,2014,2219,,
domingo,20,7,2014,1249,,
jueves,24,7,2014,2339,,
sabado,23,8,2014,1221,,
domingo,12,10,2014,1016,,
lunes,3,11,2014,2466,,
miercoles,5,11,2014,2463,,
lunes,17,11,2014,12,,
sabado,6,12,2014,1324,,
lunes,8,12,2014,2329,,
domingo,4,1,2015,1221,,
miercoles,7,1,2015,2321,,
sabado,10,1,2015,1479,,
martes,10,2,2015,2243,,
sabado,21,2,2015,1584,,
martes,24,2,2015,2959,,
miercoles,11,3,2015,221,,
viernes,13,3,2015,2581,,
sabado,14,3,2015,1131,,
lunes,27,4,2015,2859,,
domingo,3,5,2015,1146,,
miercoles,27,5,2015,2342,,
martes,30,6,2015,1947,,
miercoles,8,7,2015,2651,,
domingo,12,7,2015,1143,,
jueves,13,8,2015,2303,,
domingo,16,8,2015,1278,,
martes,18,8,2015,2528,,
martes,8,9,2015,2674,,
viernes,11,9,2015,2758,,
sabado,12,9,2015,133,,
martes,22,9,2015,308,,
lunes,23,11,2015,2669,,
jueves,10,12,2015,2728,,
domingo,13,12,2015,845,,
miercoles,16,12,2015,2762,,
martes,29,12,2015,2164,,
miercoles,3,2,2016,2692,,
martes,22,3,2016,2368,,
viernes,8,4,2016,2841,,
domingo,10,4,2016,1161,,
lunes,18,4,2016,2433,,
domingo,1,5,2016,2391,,
viernes,13,5,2016,2725,,
domingo,15,5,2016,887,,
viernes,3,6,2016,2497,,
miercoles,29,6,2016,2261,722,731
sabado,30,7,2016,1471,505,405
miercoles,3,8,2016,2849,810,796
miercoles,25,12,2013,475,,
viernes,20,12,2013,2079,,
sabado,7,12,2013,1253,,
domingo,8,12,2013,1068,,
miercoles,22,1,2014,2515,,
domingo,16,2,2014,1373,,
lunes,6,1,2014,1838,,
sabado,15,3,2014,1694,,
viernes,14,3,2014,2714,,
lunes,17,3,2014,1425,,
domingo,15,6,2014,1067,,
sabado,7,6,2014,1256,,
miercoles,2,4,2014,2635,,
viernes,11,4,2014,2747,,
jueves,27,3,2014,2879,,
jueves,22,5,2014,2355,,
lunes,7,4,2014,2457,,
jueves,9,5,2019,3900,1191,1468
miercoles,2,1,2019,2665,575,747
miercoles,23,1,2019,3893,939,1392
martes,29,1,2019,1038,1014,1431
viernes,1,2,2019,3927,668,1313
sabado,2,2,2019,2241,643,725
viernes,22,3,2019,3906,941,1345
miercoles,19,6,2019,3897,1051,1267
viernes,5,7,2019,3822,929,1225
lunes,8,7,2019,2588,819,962
miercoles,4,12,2013,2597,,
sabado,23,11,2013,1668,,
miercoles,11,7,2018,2705,880,1082
domingo,24,6,2018,2196,497,992
sabado,9,6,2018,1517,563,640
jueves,2,8,2018,2611,996,1126
jueves,26,7,2018,2999,847,1064
miercoles,22,8,2018,2867,929,
domingo,19,8,2018,1373,496,
jueves,23,8,2018,3038,860,
viernes,10,8,2018,,853,
jueves,29,11,2018,3496,731,1131
lunes,19,11,2018,1883,391,577
martes,16,10,2018,3322,104,131
lunes,1,10,2018,3264,1035,1357
miercoles,5,3,2014,2884,,
sabado,26,4,2014,1357,,
martes,15,4,2014,1858,,
jueves,24,4,2014,2626,,
miercoles,23,7,2014,1997,,
martes,12,8,2014,1824,,
jueves,28,8,2014,2928,,
domingo,27,7,2014,1356,,
miercoles,24,9,2014,2417,,
sabado,27,9,2014,1657,,
domingo,28,9,2014,146,,
jueves,20,11,2014,2325,,
martes,4,11,2014,2688,,
lunes,1,12,2014,2177,,
miercoles,21,1,2015,2874,,
domingo,8,3,2015,1257,,
viernes,3,4,2015,1526,,
lunes,9,3,2015,2822,,
miercoles,31,12,2014,1351,,
martes,23,12,2014,1976,,
martes,20,1,2015,2908,,
lunes,1,8,2016,225,687,707
sabado,4,6,2016,1349,,
viernes,27,5,2016,2454,,
lunes,9,5,2016,2615,,
miercoles,24,8,2016,1914,667,734
domingo,14,8,2016,1105,501,550
viernes,13,12,2013,2222,,
martes,31,12,2013,1554,,
miercoles,8,1,2014,2257,,
domingo,12,1,2014,1225,,
jueves,16,1,2014,2271,,
martes,13,12,2016,2847,954,1126
sabado,4,2,2017,1428,608,599
jueves,12,1,2017,2975,1039,1154
lunes,2,1,2017,206,677,722
miercoles,15,2,2017,321,1137,1291
miercoles,15,3,2017,2339,741,930
sabado,25,2,2017,1559,672,652
martes,13,2,2018,3575,1263,1352
domingo,11,3,2018,1449,306,674
martes,20,3,2018,3094,980,1295
lunes,3,10,2016,3473,937,960
miercoles,13,12,2017,3133,1028,1144
domingo,26,11,2017,1242,538,1386
sabado,2,12,2017,1528,652,549
lunes,27,11,2017,3214,1046,1191
lunes,25,12,2017,675,220,218
viernes,29,12,2017,,737,587
sabado,10,12,2016,1291,554,541
sabado,3,12,2016,1496,538,560
miercoles,29,3,2017,319,115,1363
martes,4,4,2017,3242,1164,1161
martes,23,5,2017,3107,111,1366
lunes,19,6,2017,2958,1015,128
viernes,7,7,2017,5854,881,996
domingo,30,7,2017,,590,899
martes,8,8,2017,,1068,1203
sabado,11,11,2017,1794,703,665
martes,7,11,2017,3605,,129
martes,31,10,2017,1915,,1153
sabado,9,9,2017,,455,261
martes,19,9,2017,,383,661
miercoles,9,8,2017,,932,103
jueves,21,9,2017,,,1107
domingo,3,9,2017,,591,
domingo,1,4,2018,1438,523,548
miercoles,2,5,2018,3125,987,1259
sabado,19,5,2018,1428,634,576
miercoles,22,4,2015,2864,,
martes,21,4,2015,2992,,
martes,2,6,2015,274,,
miercoles,30,12,2015,1878,,
sabado,17,10,2015,1218,,
lunes,14,12,2015,2492,,
jueves,5,11,2015,3002,,
viernes,5,2,2016,2627,,
domingo,7,2,2016,941,,
sabado,23,1,2016,1237,,
sabado,30,1,2016,11,,
jueves,31,3,2016,3123,,
domingo,3,4,2016,114,,
miercoles,23,9,2015,285,,
jueves,10,9,2015,282,,
viernes,16,10,2015,2632,,
viernes,9,10,2015,2837,,
miercoles,22,7,2015,2323,,
miercoles,15,7,2015,2717,,
domingo,19,7,2015,1004,,
